sensitivity,predictor,eligible_query_targets,mean_reciprocal_rank_of_best_partner,best_partner_recall_at_3,top2_partner_recall_at_3,macro_partner_rank_spearman,query_targets_with_finite_rank_spearman
all_allowed_rows_right_censored_at_reported_bound,raw_docking,20,0.2406111892063904,0.2,0.3,0.007492658070764213,20
all_allowed_rows_right_censored_at_reported_bound,residual_docking,20,0.28636559927001104,0.3,0.325,0.15382135536752448,20
all_allowed_rows_right_censored_at_reported_bound,full_sequence_identity,20,0.5777895021645022,0.65,0.575,0.2948950300194179,20
all_allowed_rows_right_censored_at_reported_bound,same_curated_family,20,0.40093719405255995,0.485999312005504,0.5137770897832817,0.31663586283466416,19
all_allowed_rows_right_censored_at_reported_bound,equal_rank_sequence_family,20,0.521896645021645,0.5,0.5,0.30367058367270505,20
all_allowed_rows_right_censored_at_reported_bound,equal_rank_sequence_residual,20,0.4583333333333333,0.5,0.525,0.2989868756178099,20
all_allowed_rows_right_censored_at_reported_bound,equal_rank_sequence_family_residual,20,0.4854166666666666,0.5,0.525,0.31517458553902866,20
all_allowed_rows_quantified_vs_right_censored_binary,raw_docking,20,0.3313168030370042,0.35,0.225,-0.042496647837199496,20
all_allowed_rows_quantified_vs_right_censored_binary,residual_docking,20,0.26670290085731263,0.2,0.2,0.07802378605994009,20
all_allowed_rows_quantified_vs_right_censored_binary,full_sequence_identity,20,0.5551125467669585,0.55,0.425,0.287563741316315,20
all_allowed_rows_quantified_vs_right_censored_binary,same_curated_family,20,0.4765313014335046,0.635999312005504,0.5652476780185759,0.34783069759852037,19
all_allowed_rows_quantified_vs_right_censored_binary,equal_rank_sequence_family,20,0.5640393144437261,0.65,0.55,0.3176807942501977,20
all_allowed_rows_quantified_vs_right_censored_binary,equal_rank_sequence_residual,20,0.4766911764705883,0.55,0.4,0.2568942251196926,20
all_allowed_rows_quantified_vs_right_censored_binary,equal_rank_sequence_family_residual,20,0.5226633986928104,0.65,0.475,0.2864037558422768,20
certified_right_censored_at_reported_bound,raw_docking,19,0.29162014885699095,0.3157894736842105,0.3684210526315789,0.15150434834210227,19
certified_right_censored_at_reported_bound,residual_docking,19,0.28998538011695907,0.21052631578947367,0.3157894736842105,0.20317561770523182,19
certified_right_censored_at_reported_bound,full_sequence_identity,19,0.38064099643047006,0.3684210526315789,0.3684210526315789,0.1884162794710822,19
certified_right_censored_at_reported_bound,same_curated_family,19,0.5431472617577151,0.6615067079463364,0.5159958720330237,0.3124655824534438,17
certified_right_censored_at_reported_bound,equal_rank_sequence_family,19,0.5742272347535506,0.631578947368421,0.47368421052631576,0.2508868472597598,19
certified_right_censored_at_reported_bound,equal_rank_sequence_residual,19,0.3481221994379889,0.47368421052631576,0.39473684210526316,0.2823572143170255,19
certified_right_censored_at_reported_bound,equal_rank_sequence_family_residual,19,0.4972744360902256,0.631578947368421,0.5,0.3172336802090192,19
certified_quantified_vs_right_censored_binary,raw_docking,19,0.3134977595503911,0.3684210526315789,0.3157894736842105,0.051320423026541585,19
certified_quantified_vs_right_censored_binary,residual_docking,19,0.22114488538637145,0.15789473684210525,0.2631578947368421,0.09277073730777917,19
certified_quantified_vs_right_censored_binary,full_sequence_identity,19,0.4275708209918736,0.42105263157894735,0.39473684210526316,0.16194374348545587,19
certified_quantified_vs_right_censored_binary,same_curated_family,19,0.3635201172152547,0.4757481940144478,0.3968008255933952,0.27042855677810956,17
certified_quantified_vs_right_censored_binary,equal_rank_sequence_family,19,0.42477025898078535,0.42105263157894735,0.3684210526315789,0.2048108928359866,19
certified_quantified_vs_right_censored_binary,equal_rank_sequence_residual,19,0.39887057387057395,0.42105263157894735,0.42105263157894735,0.19711741292719312,19
certified_quantified_vs_right_censored_binary,equal_rank_sequence_family_residual,19,0.4409027376132639,0.42105263157894735,0.4473684210526316,0.2240406953188711,19
