null_model,representation,weighting,metric,observed,null_mean,null_standard_deviation,null_ci95_low,null_ci95_high,favorable_excess_over_null_mean,favorable_standardized_excess,one_sided_empirical_p,favorable_direction
target_frequency_multiset,absolute,pair_weighted,mean_rank_percentile,0.4181627906976745,0.4632208558139535,0.008980915204260696,0.4447674418604652,0.4805354651162791,0.04505806511627902,5.01709058503333,0.0001999600079984003,lower
target_frequency_multiset,absolute,pair_weighted,top1,0.05,0.036596000000000004,0.008022571678163197,0.022,0.052,0.013404,1.6707859446721582,0.07018596280743851,higher
target_frequency_multiset,absolute,pair_weighted,top3,0.14,0.1058252,0.012041762569040873,0.082,0.13,0.03417480000000002,2.8380230721258974,0.003199360127974405,higher
target_frequency_multiset,absolute,pair_weighted,top5,0.21,0.15730439999999998,0.013516977560700295,0.132,0.184,0.05269560000000001,3.898475066882476,0.0001999600079984003,higher
target_frequency_multiset,absolute,compound_balanced,mean_rank_percentile,0.40168594274622427,0.4630343618418845,0.014747269987713226,0.43381769318248053,0.49222094088507035,0.061348419095660245,4.1599848071387475,0.0001999600079984003,lower
target_frequency_multiset,absolute,compound_balanced,top1,0.06006892230576441,0.03617198162071846,0.010565745041575045,0.01785714285714286,0.05903524436090225,0.02389694068504595,2.2617373967490333,0.020595880823835233,higher
target_frequency_multiset,absolute,compound_balanced,top3,0.15797505126452493,0.09842127443609022,0.015790160196574206,0.06915864946457052,0.13121758942811573,0.05955377682843471,3.771575214376568,0.0003999200159968006,higher
target_frequency_multiset,absolute,compound_balanced,top5,0.23612459178248651,0.1508087137540822,0.01880761090341647,0.1148493012835118,0.18915557359307358,0.08531587802840432,4.536242187619183,0.0001999600079984003,higher
target_frequency_multiset,column_z,pair_weighted,mean_rank_percentile,0.45227906976744187,0.5012507953488372,0.012807231752053201,0.47548837209302325,0.526,0.04897172558139534,3.8237557131379623,0.0001999600079984003,lower
target_frequency_multiset,column_z,pair_weighted,top1,0.056,0.032398,0.007617742579032196,0.018,0.048,0.023601999999999998,3.0982931958037545,0.004199160167966407,higher
target_frequency_multiset,column_z,pair_weighted,top3,0.116,0.086276,0.012016418054502435,0.064,0.11,0.029724,2.4736156702589676,0.010597880423915218,higher
